Date,1N Endwall,1S Endwall,Blast ID
1/03/2019 14:10,11.69,21.99,1S36P08_P1
2/03/2019 12:00,0.14,0.17,5N34H16_P3
4/03/2019 14:57,NA,NA,7N21H16_P2
4/03/2019 14:57,NA,NA,6N18H16_P3
4/03/2019 14:57,NA,NA,7N19D01_FL1
6/03/2019 14:12,9.24,2.02,1N38H16_P1
9/03/2019 14:55,NA,NA,5N33D11_C5
10/03/2019 13:31,17.74,34.37,1S35H16_P3
13/03/2019 10:28,5.89,6.21,7N21H16_P3
19/03/2019 14:10,6.73,1.85,3N41H13_P1
19/03/2019 14:10,6.73,1.85,2N38H13_T1
23/03/2019 14:30,NA,NA,7N22P08_P1
26/03/2019 10:47,3.23,3.02,1S33D13_PA2
28/03/2019 13:55,11.9,11.9,1N38H16_P2
29/03/2019 13:50,0.14,0.17,6N15D11_C1
4/04/2019 14:00,0.51,0.37,6N15D11_C2
5/04/2019 15:30,3.5,2.03,2N38H13_T2
9/04/2019 16:00,NA,NA,7N20D46_O1
14/04/2019 13:30,NA,NA,5N33D46_T1
22/04/2019 14:17,2.73,2.99,2S34H16_P1
28/04/2019 11:10,26.03,9.77,1N37D13_C1
1/05/2019 16:00,8.28,7.07,1S35H15_P5
10/05/2019 14:00,4.26,3.89,1N38H16_P3
13/05/2019 14:00,NA,NA,2S32D47_C3
14/05/2019 14:00,0.44,0.52,3N41H13_P2
17/05/2019 14:30,0.05,0.01,7N21H16_P4
21/05/2019 15:00,0.13,0.1,5N33H15_P3
23/05/2019 11:00,NA,NA,2N38H13_T3
27/05/2019 15:00,1.15,1.57,2N36D11_C1
27/05/2019 15:00,1.15,1.57,2N37D46_O1
29/05/2019 15:00,NA,NA,1S35H16_P6
31/05/2019 15:00,NA,NA,7N22P08_P2
4/06/2019 15:00,3.07,1.65,1N37D13_T1
10/06/2019 16:30,4.14,2.42,2S35P08_P1
18/06/2019 14:00,2.96,2.4,3N39D11_C1
21/06/2019 11:48,0.64,0.92,4S33H15_T1
21/06/2019 11:48,0.64,0.92,4S32D45_PA2
1/07/2019 14:35,17.12,34.4,1S34D46_C1
9/07/2019 13:15,0.39,0.29,5N35H16_P1
18/07/2019 15:00,1.99,1.25,3N41H13_P3
18/07/2019 15:00,1.99,1.25,6N18H15_P1
22/07/2019 13:43,34.1,9.7,1N37D13_C2
22/07/2019 13:43,34.1,9.7,1N38H16_P4
22/07/2019 13:45,2.03,1.84,2S35P08_P2
27/07/2019 13:45,NA,NA,4S32D45_PA3
28/07/2019 14:30,11.23,34.12,1S35H15_O1
31/07/2019 13:20,0.45,0.31,7N20D11_C1
8/08/2019 15:00,1.78,1.09,2S32D13_PA3
8/08/2019 15:00,1.78,1.09,1S35H15_T1
9/08/2019 14:47,0.19,0.11,6N18H16_P5
12/08/2019 13:34,5.08,3.43,2S34H16_P2
15/08/2019 14:53,0.23,0.23,6N15D11_FL1
15/08/2019 14:53,0.23,0.23,5N34D11_C1
18/08/2019 15:14,5.47,5.42,1S36P08_P2
20/08/2019 14:00,0.3,0.15,5N35H16_P2
23/08/2019 11:34,1.51,2.16,2S32D45_PA1
25/08/2019 13:00,NA,NA,7N21H16_CL1
27/08/2019 14:00,NA,NA,6N18H16_CL1
31/08/2019 14:55,0.39,0.25,5N34H15_P1
31/08/2019 14:55,0.39,0.25,5N33D46_P1
4/09/2019 15:52,0.44,0.61,3N41H13_CL3
7/09/2019 16:00,2.12,1.78,2S34H16_CL2
8/09/2019 13:50,1.2,2.08,2N36D11_C2
10/09/2019 16:00,NA,NA,2S33D47_PS1
13/09/2019 12:00,NA,NA,6N20H16_P1
15/09/2019 16:07,0.61,0.46,5N35H16_CL1
19/09/2019 14:03,0.86,1.8,3N39D11_CL1
23/09/2019 11:52,0.43,0.24,5N37P08_P2
27/09/2019 14:20,16.36,54.46,1S37H16_P1
29/09/2019 12:00,NA,NA,7N21H15_P1
4/10/2019 14:03,0.47,0.4,6N16D11_PS1
4/10/2019 14:03,0.47,0.4,6N15D11_FL2
14/10/2019 15:30,6.54,4.44,2S33D47_C1
24/10/2019 15:52,0.33,0.26,6N16D11_C1
27/10/2019 13:55,0.41,0.41,5N35H13_P1
30/10/2019 14:06,14.97,1.93,1N38D46_O1
30/10/2019 14:06,14.97,1.93,1N38H16_P5
31/10/2019 13:54,1.24,1.41,4S32D13_PA3
4/11/2019 14:58,0.29,0.37,3N43Q01_P1
7/11/2019 11:00,0.36,0.34,3N39D11_CL3
12/11/2019 7:15,8.16,6.78,2S34H15_T1
12/11/2019 7:15,8.16,6.78,2S33D47_C2
17/11/2019 14:15,NA,NA,3N43Q01_P2
19/11/2019 15:05,NA,NA,6N18H15_P2
19/11/2019 15:05,NA,NA,6N19H16_T1
22/11/2019 14:10,NA,NA,7N22P08_P3
25/11/2019 13:50,NA,NA,3N41D46_O1
26/11/2019 16:00,NA,NA,4S32D13_PA4
28/11/2019 10:53,16.67,64.82,1S37H16_P3
28/11/2019 10:53,16.67,64.82,1S37H16_P5
30/11/2019 15:56,0.95,0.77,5N33D11_FL1
30/11/2019 15:56,0.95,0.77,5N34H15_P2
2/12/2019 13:55,NA,NA,6N18H15_CL2
5/12/2019 14:50,2.52,1.52,2S34H15_O1
9/12/2019 14:00,NA,NA,5N34D11_C2
13/12/2019 14:35,10.03,2.48,1N38H16_CL1
14/12/2019 14:45,2.07,1.02,2S34H15_O2
16/12/2019 14:30,0.48,0.28,5N34D11_C2
16/12/2019 14:33,0.23,0.23,7N20D11_CL1
19/12/2019 14:00,4.33,3.61,1S37H16_P2
20/12/2019 16:00,0.54,0.44,5N35H13_CL1
21/12/2019 16:00,NA,NA,7N20D11_CL2
28/12/2019 13:30,2.01,0.81,2S34H15_CL1
29/12/2019 13:56,1.23,1.05,2N39H13_P1
31/12/2019 15:39,11.35,8.44,1S37H16_P6
3/01/2020 15:05,0.31,0.17,7N21H15_P2
8/01/2020 12:09,0.72,1.81,3N43Q01_P3
9/01/2020 15:10,6.11,20.86,1S34D13_PA1
11/01/2020 13:57,0.34,0.26,5N36P08_P1
13/01/2020 14:00,0.18,0.2,5N34D11_C3
16/01/2020 16:00,NA,NA,7N20D01_PA1
16/01/2020 16:00,NA,NA,6N18D46_O1
21/01/2020 13:52,6.58,4.85,1S34D13_PA2
21/01/2020 1:52,6.58,4.85,1S37H16_P7
23/01/2020 12:38,0.54,0.56,6N20H16_P2
25/01/2020 11:32,2.58,1.52,2S35P08_P3
31/01/2020 16:00,0.54,0.43,2N36D11_CL1
